Talla,Polera piqué SFJ,Chaleco SFJ,Sueter SFJ,Buzo SFJ Completo,Buzo SFJ Pantalón,Buzo SFJ Chaqueta
4,12900,16900,16900,21900,13900,13900
6,13900,16900,16900,22900,13900,13900
8,14900,18900,18900,24900,14900,15900
10,14900,20900,20900,26900,15900,16900
12,15900,21900,21900,29900,16900,17900
14,16900,22900,22900,31900,18900,19900
16,17900,23900,23900,32900,19900,21900
S,18900,24900,24900,34900,21900,22900
M,18900,25900,25900,35900,22900,22900
L,19900,26900,26900,36900,23900,24900
XL,19900,27900,27900,38900,24900,24900
XXL,21400,28400,28400,39900,25900,25900
